id,artist_name,album_name,releaseDate,duration_ms_x,explicit,is_local,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Streams
05nbZ1xxVNwUTcGwLbp7CN,NAV,NAV,17221,226040,TRUE,FALSE,Myself,73,0.664,0.654,0.393,0,5,0.114,-7.621,0,0.284,159.741,4,0.105,4080027
0AICBlLzFCTpUqmAbtzB2z,Trippie Redd,A Love Letter To You,17300,143969,TRUE,FALSE,Love Scars,74,0.000404,0.659,0.614,0,9,0.123,-7.32,0,0.0541,119.405,4,0.26,22545059
0B8QzDH7YWih85V5SEMnyJ,Lil Uzi Vert,Lil Uzi Vert Vs. The World,16948,198944,TRUE,FALSE,Money Longer,77,0.0541,0.795,0.568,0,5,0.108,-7.817,0,0.142,136.173,4,0.478,8228205
0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,Evolve,17340,204346,FALSE,FALSE,Believer,22,0.0524,0.779,0.787,0,10,0.14,-4.305,0,0.108,124.982,4,0.708,13143536
0CokSRCu5hZgPxcZBaEzVE,Macklemore,GEMINI,17431,220454,TRUE,FALSE,Glorious (feat. Skylar Grey),78,0.0323,0.731,0.794,2.59E-05,0,0.112,-5.126,0,0.0522,139.994,4,0.356,2677351
0ESJlaM8CE1jRWaNtwSNj8,Travis Scott,Birds In The Trap Sing McKnight,17060,213863,TRUE,FALSE,beibs in the trap,72,0.24,0.743,0.571,0,7,0.291,-6.054,0,0.145,119.054,4,0.495,4141571
0Gl5s8IhMmQE5YQwM8Qx1J,Loren Allred,The Greatest Showman (Original Motion Picture Soundtrack),17508,207786,FALSE,FALSE,Never Enough,78,0.423,0.277,0.394,0,8,0.0952,-8.903,1,0.0336,86.777,3,0.227,13261443
0I20rLT2MJDhcF96AjbNYo,Zedd,Stay +,17529,210400,FALSE,FALSE,Stay,54,0.221,0.671,0.628,0,5,0.114,-5.049,0,0.0759,102.037,4,0.537,4112959
0jdny0dhgjUwoIp5GkqEaA,Kesha,Rainbow,17389,230266,FALSE,FALSE,Praying,74,0.491,0.576,0.39,0,10,0.111,-7.202,1,0.0297,73.433,4,0.319,13827838
0kdiUZDcLIFw0Buo9r0Q4z,LANCO,LANCO - EP,16906,222400,FALSE,FALSE,Greatest Love Story,16,0.38,0.665,0.621,0,10,0.119,-8.571,1,0.0524,147.975,4,0.632,2796612
0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,24K Magic,17122,206693,FALSE,FALSE,That's What I Like,83,0.013,0.853,0.56,0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86,24588021
0nhVrTiCGiGRCoZOJiWzm1,Migos,Danger (with Migos & Marshmello) [From Bright: The Album],17508,214586,TRUE,FALSE,Danger (with Migos & Marshmello),69,0.152,0.814,0.743,0,9,0.163,-2.968,1,0.159,107.996,4,0.367,1276157
0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,Havana,17381,216896,FALSE,FALSE,Havana,29,0.186,0.768,0.517,3.80E-05,7,0.104,-4.323,0,0.0312,104.992,4,0.418,5860925
0OI7AFifLSoGzpb8bdBLLV,Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]",17488,202804,FALSE,FALSE,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",73,0.00413,0.653,0.718,0,3,0.0537,-5.232,0,0.213,82.034,4,0.216,5953746
0OlnLZY4cmQzT6ZGttvWBM,Martin Garrix,So Far Away (feat. Jamie Scott & Romy Dya),17501,183636,FALSE,FALSE,So Far Away (feat. Jamie Scott & Romy Dya),74,0.435,0.526,0.52,0,6,0.197,-7.985,0,0.0569,149.119,4,0.13,6075892
